Customer_ID,Gender,Age_Group,Customer_Type,Store_Location,Payment_Method,Item_Category,Purchase_Amount,Quantity,Day_of_Week,Time_of_Purchase,Loyalty_Points_Earned,Discount_Applied,Return_Transaction,Online_or_Offline,Item_Name,Total_Spend,Purchase_Frequency,Average_Spend_Per_Visit,Time_Spent_Minutes,Decision_Time_Minutes,Purchase_Type
CUST1000,Other,36-45,Loyal,Suburb,Credit Card,Electronics,164.61652842251553,2,Monday,14:52,0,True,True,In-Store,Smartphone,793.1,1,793.1,91,19,Planned
CUST1001,Male,18-25,New,Suburb,Cash,Groceries,125.34952258638225,9,Tuesday,08:04,0,False,False,In-Store,Milk,651.33,1,651.33,9,27,Planned
CUST1002,Male,46-60,Occasional,Suburb,Credit Card,Books,365.2350104948276,4,Thursday,08:08,25,False,True,In-Store,Textbook,813.32,1,813.32,48,29,Unplanned
CUST1003,Other,36-45,Occasional,Mall,Debit Card,Books,30.997415059961135,7,Thursday,21:11,49,True,False,Online,Textbook,2212.07,1,2212.07,28,9,Unplanned
CUST1004,Female,26-35,Occasional,Highway,Credit Card,Toys,55.85263252923831,3,Wednesday,16:02,42,True,False,In-Store,Action Figure,480.87,1,480.87,41,56,Unplanned
CUST1005,Male,18-25,Loyal,Residential Area,Cash,Clothing,11.696335819536662,7,Tuesday,17:22,4,True,False,In-Store,T-Shirt,319.9,1,319.9,56,34,Planned
CUST1006,Male,46-60,Occasional,Downtown,Mobile Wallet,Furniture,55.952771977406854,5,Friday,14:18,7,True,False,In-Store,Sofa,415.6,1,415.6,19,30,Unplanned
CUST1007,Male,18-25,New,Downtown,Credit Card,Books,15.434420120036224,5,Friday,11:38,50,True,True,Online,Science Fiction,1303.0,1,1303.0,74,7,Planned
CUST1008,Other,26-35,Occasional,Highway,UPI,Cosmetics,76.37316794942328,9,Tuesday,19:30,11,True,True,Online,Moisturizer,4364.82,1,4364.82,8,33,Planned
CUST1009,Male,60+,Occasional,Suburb,Mobile Wallet,Cosmetics,5.0,9,Friday,10:42,10,True,True,Online,Shampoo,3745.44,1,3745.44,22,15,Unplanned
CUST1010,Other,18-25,Loyal,Suburb,Debit Card,Cosmetics,29.114624327370397,7,Thursday,09:04,0,True,False,Online,Moisturizer,2679.39,1,2679.39,60,13,Planned
CUST1011,Other,18-25,New,Residential Area,Debit Card,Furniture,17.236314928653417,10,Thursday,15:34,43,True,True,Online,Wardrobe,4242.5,1,4242.5,54,23,Planned
CUST1012,Other,36-45,New,Downtown,Cash,Books,146.51611895629694,5,Wednesday,13:31,0,True,False,Online,Science Fiction,1722.25,1,1722.25,65,26,Planned
CUST1013,Male,26-35,New,Suburb,Mobile Wallet,Electronics,285.56663437803485,7,Sunday,18:57,18,False,False,Online,Tablet,2781.52,1,2781.52,58,19,Planned
CUST1014,Other,26-35,Occasional,Mall,Credit Card,Electronics,55.22023612498812,2,Saturday,14:28,18,True,True,Online,Laptop,326.2,1,326.2,52,33,Planned
CUST1015,Female,60+,Loyal,Residential Area,Credit Card,Electronics,15.684654287631139,2,Saturday,16:23,0,False,True,Online,Smartwatch,483.58,1,483.58,15,50,Unplanned
